[s]	[mv]	[s]	[mv]	[s]	[mv]	[s]	[mv]	[s]	[mv]	[s]	[mv]	[s]	[mv]	[s]	[mv]		[s]	v	[s]	v	[s]	v	[s]	v	[s]	v	[s]	v	[s]	v	[s]	v
0.0	-58.782089	0.0	-57.762928	0.0	-58.718388	0.0	-58.399902	0.0	-58.622845	0.0	-57.635532	0.0	-58.240658	0.0	-57.731079		0.0	-4.84375	0.0	-4.84375	0.0	-4.84375	0.0	-4.84375	0.0	-4.84375	0.0	-4.84375	0.0	-4.84375	0.0	-4.84375
0.0001	-58.75024	0.0001	-57.826626	0.0001	-58.686543	0.0001	-58.431751	0.0001	-58.654697	0.0001	-57.667381	0.0001	-58.145111	0.0001	-57.699226		0.001	-4.84375	0.001	-4.84375	0.001	-4.84375	0.001	-4.84375	0.001	-4.84375	0.001	-4.84375	0.001	-4.84375	0.001	-4.84375
0.0002	-58.845787	0.0002	-57.922173	0.0002	-58.654697	0.0002	-58.399902	0.0002	-58.686543	0.0002	-57.571835	0.0002	-58.017719	0.0002	-57.667381		0.002	-4.84375	0.002	-4.84375	0.002	-4.84375	0.002	-4.84375	0.002	-4.84375	0.002	-4.84375	0.002	-4.84375	0.002	-4.84375
0.00030000000000000003	-58.941334	0.00030000000000000003	-57.858475	0.00030000000000000003	-58.686543	0.00030000000000000003	-58.527298	0.00030000000000000003	-58.718388	0.00030000000000000003	-57.731079	0.00030000000000000003	-58.081413	0.00030000000000000003	-57.699226		0.003	-4.84375	0.003	-4.84375	0.003	-4.84375	0.003	-4.84375	0.003	-4.84375	0.003	-4.84375	0.003	-4.84375	0.003	-4.84375
0.0004	-58.813934	0.0004	-57.826626	0.0004	-58.622845	0.0004	-58.527298	0.0004	-58.782089	0.0004	-57.667381	0.0004	-58.17696	0.0004	-57.826626		0.004	-4.84375	0.004	-4.84375	0.004	-4.84375	0.004	-4.84375	0.004	-4.84375	0.004	-4.84375	0.004	-4.84375	0.004	-4.84375
0.0005	-58.782089	0.0005	-57.858475	0.0005	-58.654697	0.0005	-58.527298	0.0005	-58.75024	0.0005	-57.731079	0.0005	-58.081413	0.0005	-57.794773		0.005	-4.84375	0.005	-4.84375	0.005	-4.84375	0.005	-4.84375	0.005	-4.84375	0.005	-4.84375	0.005	-4.84375	0.005	-4.84375
0.0006000000000000001	-58.813934	0.0006000000000000001	-57.858475	0.0006000000000000001	-58.718388	0.0006000000000000001	-58.495449	0.0006000000000000001	-58.782089	0.0006000000000000001	-57.731079	0.0006000000000000001	-58.081413	0.0006000000000000001	-57.731079		0.006	-4.84375	0.006	-4.84375	0.006	-4.84375	0.006	-4.84375	0.006	-4.84375	0.006	-4.84375	0.006	-4.84375	0.006	-4.84375
0.0007	-58.782089	0.0007	-57.89032	0.0007	-58.718388	0.0007	-58.463596	0.0007	-58.75024	0.0007	-57.826626	0.0007	-58.081413	0.0007	-57.731079		0.007	-4.84375	0.007	-4.84375	0.007	-4.84375	0.007	-4.84375	0.007	-4.84375	0.007	-4.84375	0.007	-4.84375	0.007	-4.84375
0.0008	-58.845787	0.0008	-57.922173	0.0008	-58.686543	0.0008	-58.463596	0.0008	-58.718388	0.0008	-57.794773	0.0008	-57.985867	0.0008	-57.762928		0.008	-4.84375	0.008	-4.84375	0.008	-4.84375	0.008	-4.84375	0.008	-4.84375	0.008	-4.84375	0.008	-4.84375	0.008	-4.84375
0.0009000000000000001	-58.813934	0.0009000000000000001	-57.89032	0.0009000000000000001	-58.718388	0.0009000000000000001	-58.559151	0.0009000000000000001	-58.654697	0.0009000000000000001	-57.858475	0.0009000000000000001	-58.017719	0.0009000000000000001	-57.762928		0.009000000000000001	-4.84375	0.009000000000000001	-4.84375	0.009000000000000001	-4.84375	0.009000000000000001	-4.84375	0.009000000000000001	-4.84375	0.009000000000000001	-4.84375	0.009000000000000001	-4.84375	0.009000000000000001	-4.84375
