[s]	[mv]	[s]	[mv]	[s]	[mv]	[s]	[mv]	[s]	[mv]		[s]	v	[s]	v	[s]	v	[s]	v	[s]	v
0.0	-61.281	0.0	-58.622	0.0	-54.914	0.0	-58.779	0.0	-52.422		0.0	-1.8125	0.0	-1.8125	0.0	-1.8125	0.0	-1.8125	0.0	-1.8125
0.0001	-61.225	0.0001	-58.615	0.0001	-54.963	0.0001	-58.743	0.0001	-52.564		0.001	-1.8125	0.001	-1.8125	0.001	-1.8125	0.001	-1.8125	0.001	-1.8125
0.0002	-61.222	0.0002	-58.572	0.0002	-55.016	0.0002	-58.822	0.0002	-52.511		0.002	-1.8125	0.002	-1.8125	0.002	-1.8125	0.002	-1.8125	0.002	-1.8125
0.00030000000000000003	-61.153	0.00030000000000000003	-58.615	0.00030000000000000003	-55.075	0.00030000000000000003	-58.746	0.00030000000000000003	-52.472		0.003	-1.8125	0.003	-1.8125	0.003	-1.8125	0.003	-1.8125	0.003	-1.8125
0.0004	-61.245	0.0004	-58.556	0.0004	-55.026	0.0004	-58.802	0.0004	-52.412		0.004	-1.8125	0.004	-1.8125	0.004	-1.8125	0.004	-1.8125	0.004	-1.8125
0.0005	-61.11	0.0005	-58.523	0.0005	-55.029	0.0005	-58.829	0.0005	-52.465		0.005	-1.8125	0.005	-1.8125	0.005	-1.8125	0.005	-1.8125	0.005	-1.8125
0.0006000000000000001	-61.153	0.0006000000000000001	-58.46	0.0006000000000000001	-55.098	0.0006000000000000001	-58.779	0.0006000000000000001	-52.508		0.006	-1.8125	0.006	-1.8125	0.006	-1.8125	0.006	-1.8125	0.006	-1.8125
0.0007	-61.215	0.0007	-58.444	0.0007	-55.075	0.0007	-58.829	0.0007	-52.475		0.007	-1.8125	0.007	-1.8125	0.007	-1.8125	0.007	-1.8125	0.007	-1.8125
0.0008	-61.3	0.0008	-58.451	0.0008	-55.045	0.0008	-58.829	0.0008	-52.554		0.008	-1.8125	0.008	-1.8125	0.008	-1.8125	0.008	-1.8125	0.008	-1.8125
0.0009000000000000001	-61.218	0.0009000000000000001	-58.437	0.0009000000000000001	-55.065	0.0009000000000000001	-58.776	0.0009000000000000001	-52.521		0.009000000000000001	-1.8125	0.009000000000000001	-1.8125	0.009000000000000001	-1.8125	0.009000000000000001	-1.8125	0.009000000000000001	-1.8125
