"","Class","Name","InChIKey","CID","CAS","model.response"
"1",NA,"sfr","SFR","SFR","SFR",0
"4","amine","putrescine","KIDHWZJUCRJVML-UHFFFAOYSA-N","1045","110-60-1",0.242
"5","amine","cadaverine","VHRGRCVQAFMJIZ-UHFFFAOYSA-N","273","462-94-2",-0.04
"6","amine","ammonia","QGZKDVFQNNGYKY-UHFFFAOYSA-N","222","7664-41-7",0.241
"17","acid","acetic acid","QTBSBXVTEAMEQO-UHFFFAOYSA-N","176","64-19-7",-0.058
"18","acid","propanoic acid","XBDQKXXYIPTUBI-UHFFFAOYSA-N","1032","79-09-4",-0.043
"19","acid","butyric acid","FERIUCNNQQJTOY-UHFFFAOYSA-N","264","107-92-6",-0.039
"20","acid","pentanoic acid","NQPDZGIKBAWPEJ-UHFFFAOYSA-N","7991","109-52-4",-0.05
"21","acid","hexanoic acid","FUZZWVXGSFPDMH-UHFFFAOYSA-N","8892","142-62-1",-0.039
"22","acid","heptanoic acid","MNWFXJYAOYHMED-UHFFFAOYSA-N","8094","111-14-8",-0.042
"23","acid","octanoic acid","WWZKQHOCKIZLMA-UHFFFAOYSA-N","379","124-07-2",-0.039
"24","acid","nonanoic acid","FBUKVWPVBMHYJY-UHFFFAOYSA-N","8158","112-05-0",-0.038
"26","acid","isobutyric acid","KQNPFQTWMSNSAP-UHFFFAOYSA-N","6590","79-31-2",-0.06
"39","terpene","limonene","XMGQYMWWDOXHJM-UHFFFAOYSA-N","22311","138-86-3",0.242
"42","terpene","(-)-trans-caryophyllene","NPNUFJAVOOONJE-GFUGXAQUSA-N","5281515","87-44-5",0.269
"44","terpene","geranyl acetate","HIGQPQRQIQDZMP-DHZHZOJOSA-N","1549026","105-87-3",-0.027
"45","terpene","alpha-terpineol","WUOACPNHFRMFPN-SECBINFHSA-N","443162","10482-56-1",0.262
"46","terpene","geraniol","GLZPCOQZEFWAFX-JXMROGBWSA-N","637566","106-24-1",-0.044
"48","terpene","linalool","CDOSHBSSFJOMGT-UHFFFAOYSA-N","6549","78-70-6",0.239
"49","terpene","beta-citronellol","QMVPMAAFGQKVCJ-SNVBAGLBSA-N","8842","106-22-9",-0.039
"51","terpene","(R)-(-)-carvone","ULDHMXUKGWMISQ-SECBINFHSA-N","439570","6485-40-1",-0.041
"52","terpene","(S)-(+)-carvone","ULDHMXUKGWMISQ-VIFPVBQESA-N","16724","2244-16-8",-0.038
"53","terpene","1,8-cineole","WEEGYLXZBRQIMU-WAAGHKOSSA-N","2758","470-82-6",0.292
"55","terpene","citral","WTEVQBCEXWBHNA-JXMROGBWSA-N","638011","5392-40-5",0.24
"56","terpene","(S)-(-)-citronellal","NEHNMFOYXAPHSD-JTQLQIEISA-N","443157","5949-05-3",0.27
"57","terpene","(1R)-(-)-fenchone","LHXDLQBQYFFVNW-OIBJUYFYSA-N","14525","7787-20-4",0.302
"58","terpene","(R)-(+)-limonene","XMGQYMWWDOXHJM-JTQLQIEISA-N","440917","5989-27-5",-0.039
"60","terpene","(1R)-(-)-myrtenal","KMRMUZKLFIEVAO-UHFFFAOYSA-N","61130","564-94-3",-0.04
"61","terpene","(+)-alpha-pinene","GRWFGVWFFZKLTI-RKDXNWHRSA-N","82227","7785-70-8",-0.044
"62","terpene","(R)-(+)-pulegon","NZGWDASTMWDZIW-MRVPVSSYSA-N","442495","89-82-7",0.253
"63","terpene","(-)-alpha-thujone","USMNOWBWPHYOEA-MRTMQBJTSA-N","261491","546-80-5",-0.048
"64","terpene","alpha-bisabolol","RGZSQWQPBWRIAQ-CABCVRRESA-N","10586","23089-26-1",-0.038
"65","terpene","e,e-farnesol","CRDAMVZIKSXKFV-YFVJMOTDSA-N","445070","106-28-5",0.24
"66","terpene","alpha-ionone","UZFLPKAIBPNNCA-BQYQJAHWSA-N","5282108","127-41-3",0.3
"67","terpene","beta-ionone","PSQYTAPXSHCGMF-BQYQJAHWSA-N","638014","79-77-6",0.255
"69","aldehyde","acetaldehyde","IKHGUXGNUITLKF-UHFFFAOYSA-N","177","75-07-0",-0.039
"70","aldehyde","propanal","NBBJYMSMWIIQGU-UHFFFAOYSA-N","527","123-38-6",0.254
"71","aldehyde","butanal","ZTQSAGDEMFDKMZ-UHFFFAOYSA-N","261","123-72-8",0.245
"72","aldehyde","pentanal","HGBOYTHUEUWSSQ-UHFFFAOYSA-N","8063","110-62-3",0.244
"73","aldehyde","hexanal","JARKCYVAAOWBJS-UHFFFAOYSA-N","6184","66-25-1",0.24
